 ,Airports,Auto Dealerships,Auto Shops,Banks,Bars,Big Box Stores,Casual Dining,Clothing Stores,Convenience Stores,Discount Stores,Drug Stores,Fast Food,Furniture Stores,Grocery,Gas Stations,Gyms,Hardware Stores,Hotels,Liquor Stores,Movie Theaters,Nail Salons,Offices,Pet Stores,Salons/Barbershops,Shopping Malls,Trails,Warehouse Stores,Wireless Carriers,Veterinarians,,,,
2020-03-14,81.9391922,98.36798057,102.1491925,105.9821111,95.03073853,108.8056303,84.55435779,85.49022964,103.5263394,110.446064,110.3409696,101.7223445,90.26420811,116.7076009,103.3358254,89.79586726,115.3733101,83.90357459,109.5287147,70.69614094,101.6948345,91.27551277,102.3131117,101.8840477,86.46866691,104.828883,133.4348734,101.5266819,103.0723864,,,,
2020-03-15,79.95770974,97.80499307,101.4300511,105.8690441,93.46818068,110.2021759,81.28870117,82.03625879,104.1804642,113.041545,113.5483386,100.2711077,89.09449162,120.6211778,103.2287158,88.20732467,117.4802283,81.58685109,111.479706,67.07458362,100.8966293,90.73877264,103.2631522,100.044039,83.94885835,103.857323,133.9945209,100.8798817,103.3142976,,,,
2020-03-16,76.89580393,97.1419471,101.0206402,107.5554684,91.77838393,113.1706776,78.58077963,79.54363534,105.3573598,116.030013,118.0628603,99.31418874,87.97911815,126.9684036,104.0797251,82.90934801,119.5292626,78.63037541,117.3288583,64.93898649,99.49242052,87.55129669,106.2252463,99.08113377,82.63295056,103.343905,139.3850271,100.4134361,104.4504501,,,,
2020-03-17,74.03122664,96.1863369,100.5111494,106.4420331,88.48642321,114.9338666,73.68170328,75.49565712,106.0704966,118.0108,121.0079598,97.40829223,85.58765471,131.7354401,104.4095457,75.24822523,121.4517721,74.99178901,122.2116237,59.667544,97.32362985,83.2256694,106.8909523,97.12476222,79.46200262,106.120028,141.290695,98.41357481,104.9964229,,,,
2020-03-18,70.09278502,95.02208411,99.66156023,104.9570299,83.28657996,115.8150534,67.67387003,70.55407098,106.2527568,118.817557,122.9775276,94.94728022,82.74131228,134.9073367,104.2468735,67.02166453,123.4133764,70.4920896,124.4149754,55.59903413,93.4819585,78.69808524,107.1911481,93.90274492,75.07555845,108.982652,139.9941109,96.33063293,104.526827,,,,
2020-03-19,64.99213731,93.70690311,98.54756881,103.3669291,77.75745013,114.1066812,61.47874465,65.36996507,105.3293941,117.368231,122.0265234,91.83864466,79.49841032,135.1755095,103.4683349,60.20048401,124.6939103,65.98502312,124.7830058,51.7945198,89.37630227,74.67554318,105.8193618,89.94268212,70.22159325,112.070776,133.7570283,93.62799493,103.6552955,,,,
2020-03-20,59.93695754,92.82201558,97.62493694,101.9137466,70.17059668,112.6472508,53.38103291,58.67171032,104.4670582,114.712399,120.7446236,89.29343726,74.47508977,134.3458204,102.7534209,54.56812521,126.4372585,60.64882265,125.4541703,45.16155401,83.90409356,72.01634048,104.0152668,85.49058803,64.01294173,116.06514,128.5487684,90.85453468,102.3765328,,,,
2020-03-21,55.01709658,89.78786324,95.94295787,100.7211054,59.60791447,109.9730697,43.49681776,48.57349001,102.2732009,111.286412,121.6899496,86.69681748,66.29014408,131.6072815,101.0383951,49.23656104,126.5369922,54.00843233,123.1615351,36.19264918,78.41286336,70.66438565,98.97813515,80.70573295,55.63588833,123.035107,123.3798184,85.32878456,100.6218329,,,,
2020-03-22,49.59666144,89.0787296,94.86019733,100.694132,52.86096526,108.841889,35.36590509,41.70166109,100.4822542,108.743527,123.4335538,84.84678698,60.24285503,129.7218785,99.48234247,45.47679262,127.5619807,49.42520602,121.0405363,30.07331356,75.97264699,70.11774273,94.88390064,77.92145727,50.10159711,127.794229,121.3396727,81.1811418,99.00478996,,,,
2020-03-23,45.26440445,86.41533917,93.27327279,96.0144041,49.02187518,106.5856321,31.56598717,37.36589045,98.56202288,106.231761,123.2332114,83.06949442,56.19933905,125.7569904,97.66764907,41.0203297,127.2974654,46.44502838,116.4696174,27.65903129,72.26410161,67.82835046,89.85833452,74.85070233,45.84922771,127.594387,115.8076222,78.08636114,96.36093638,,,,
2020-03-24,41.61728229,83.87238673,91.48163317,93.30046937,46.38290425,104.7667972,29.73731415,33.92691897,96.68134411,103.131403,123.6396289,81.95707006,52.67533108,122.2596366,96.09060407,38.86685116,126.5139171,43.9274531,111.9556434,26.11905929,68.92375431,66.01575757,86.51121659,71.22260578,43.04993002,128.204665,112.8143063,74.1306941,93.83967952,,,,
2020-03-25,38.92778144,81.44064487,89.79081625,91.05267342,45.09845579,103.0655326,28.4222867,31.2928015,94.9933513,100.665261,124.6570546,81.46585048,49.66865922,119.3002729,94.73350535,37.55296441,126.1180847,42.06847004,109.8929129,25.47883318,66.04424405,64.42318596,82.97042883,67.90643172,41.13165617,128.263181,109.3574445,70.52384267,91.88728656,,,,
2020-03-26,36.47647866,79.27841474,88.55466094,89.1388476,44.22676034,101.5866712,27.56608286,29.52724276,93.63347806,98.380481,126.2512085,81.65413237,47.04843343,116.3766536,93.72079481,36.69927458,126.7082006,40.7043476,108.0320273,24.8394373,63.8024056,63.27390053,80.24096921,65.29016866,39.76288422,130.684445,107.1082273,67.87371175,90.17629305,,,,
2020-03-27,34.24575958,77.47125197,87.1003256,87.01682892,43.73007346,99.34468164,27.31595825,28.30161492,92.02958481,96.091643,127.9176406,81.79877093,45.59971237,112.7103866,92.45387999,36.12858413,127.3660283,39.46602025,104.6889054,24.76781059,61.54326234,62.64460773,76.37323226,62.59297969,38.64083545,132.085653,102.886906,64.88542039,88.58772629,,,,
2020-03-28,31.49496009,74.5134505,85.58046176,83.80636843,42.13727138,95.91281553,26.84965446,26.60794553,88.85828587,92.013488,123.8599933,80.08274134,42.36672089,107.3356289,89.51217278,34.78084215,124.3155675,37.88011829,99.90609743,23.85412612,59.0805971,61.16393501,73.20478402,59.99373688,36.93392698,125.878681,98.42387181,62.59891119,87.28824897,,,,
2020-03-29,29.41422226,74.32855437,85.52755956,83.43395931,41.81030156,94.89310171,26.71971064,25.945982,87.85845356,90.664286,123.4467232,80.2901691,40.82602088,105.4633351,88.7197019,34.25303117,124.5715434,37.14730114,99.12847775,23.50431447,58.21094454,60.94762497,71.55463304,59.51520095,36.16761782,122.276769,96.74269811,62.44468467,87.04684734,,,,
2020-03-30,27.94300961,73.38098797,85.05555805,82.90993078,41.84911992,93.85738635,26.60314846,25.47906788,87.11798247,89.557605,122.5516895,80.43291943,40.12644549,103.7379949,88.25967748,33.8071034,125.6713604,36.60083196,98.26028863,23.47163883,57.22816762,60.15385282,70.3024934,58.8102695,35.81955631,124.828673,94.58339664,61.04025241,86.57750347,,,,
2020-03-31,26.99724761,72.88379602,84.98747501,85.21433921,41.80477027,94.12997427,26.59702899,25.30877731,86.90745539,89.40945,123.2949511,81.20164028,39.827889,103.433708,88.11664821,33.4550935,126.8164243,36.19596734,98.11878066,23.50568131,56.65258313,59.52090033,69.92412245,58.40211624,35.74823541,124.484357,95.04273506,60.70301774,86.55611256,,,,
2020-04-01,26.21593645,72.96709573,85.8175731,89.95198933,42.33436341,95.81618193,26.98485375,25.6315911,87.83666439,91.173787,125.895886,82.57856518,39.99907386,104.786851,89.13074123,33.68989515,128.8397125,36.24055888,100.0925986,23.66183775,57.31603911,59.71410885,70.93895789,59.02510995,36.10590325,125.464678,96.71646369,61.25020508,87.27573614,,,,
2020-04-02,25.6992312,73.26883142,86.48882942,93.92215546,42.7096642,97.19841384,27.30728818,26.00826506,88.81139378,93.125543,127.4870141,83.60048602,40.26543927,106.3131363,89.89256013,33.91603697,130.7299254,36.07730431,102.2400228,23.99406191,57.42002482,60.20985324,71.65494222,59.84825425,36.45295679,124.256326,98.71968142,61.78483243,88.17747983,,,,
2020-04-03,25.18667131,73.84939885,87.61707349,100.5276967,43.08744116,99.03224421,27.73183178,26.42312624,90.1785093,95.566319,129.9830101,85.25630544,40.69994166,108.280047,91.04966544,34.1257761,132.4096903,35.98099575,104.8349737,24.17076888,58.56218172,60.56990553,72.36856056,60.80670683,37.02839239,122.366585,100.0686465,62.63105295,88.74264243,,,,
2020-04-04,23.96181612,71.66127787,85.65053293,97.71804525,42.44363071,95.59618859,27.28246434,26.08205808,88.43069324,95.526472,126.3974356,83.3767426,40.25886762,105.8035604,89.00500531,33.51936175,129.5219505,35.02170251,103.9967359,23.77548609,57.75529593,59.1244964,73.00785658,59.55474982,36.13373677,124.693932,96.98832633,63.40152889,89.16087143,,,,
2020-04-05,23.39131412,72.00770857,85.68359052,97.39891374,42.78161765,94.31965154,27.44193237,26.25341029,88.76361345,96.79358,124.8352158,83.45816051,40.65591001,105.9833281,89.11103422,33.7292822,129.8149512,34.847226,104.671404,23.96504578,57.88430988,59.3729056,73.71136744,59.62849648,36.19154142,126.149815,96.80743219,63.73293375,89.56741765,,,,
2020-04-06,22.9501189,71.59136999,85.71818993,99.38413063,43.07966004,93.20707292,27.36837061,26.27280781,88.99161734,97.521411,123.7759737,83.62221452,40.45595555,105.6120434,89.17491384,33.99897224,129.8485596,34.83438176,104.9062091,24.16667463,57.92169715,59.394524,73.95412027,59.47963688,35.85147976,127.612954,96.18101439,63.90863498,89.74434013,,,,
2020-04-07,22.35044566,71.42178301,85.73861707,98.47461704,43.52044549,91.62048323,27.22264516,26.33573792,89.16329618,98.101479,122.6617701,83.57254773,40.45820637,104.9080803,89.4739297,34.21754566,130.7323652,34.94607017,105.670377,24.17527896,57.8931103,59.7277824,74.1025589,59.52403909,35.53710362,130.416841,94.45064891,64.1825223,90.42286066,,,,
2020-04-08,21.81369372,71.18450487,85.51402537,95.73897867,43.53413325,89.55537996,27.02605633,26.18571893,88.78303272,97.531964,120.1664152,83.09407869,40.16298097,103.8226921,89.13716796,34.1337207,131.0213659,34.81353035,105.3971025,24.25065665,57.47306456,59.8205057,73.57221507,58.62188754,35.27226103,130.702149,92.63185206,64.257032,90.64546503,,,,
2020-04-09,21.52196618,71.23927137,85.74324033,94.29479049,43.55106631,89.38575691,27.10279383,26.16410857,88.76351033,97.351944,119.7470326,83.36051753,40.30044803,103.9555548,89.22103997,34.0413704,131.6344042,34.72414459,105.6064881,24.26384033,58.07933909,59.7403425,73.92463246,57.96021468,35.19632852,129.043025,91.79719129,64.52438028,91.4129334,,,,
2020-04-10,21.27293887,71.44991491,85.76721924,90.101887,43.65270711,89.90812756,27.28606733,26.29685885,88.82412207,97.443811,119.8093196,83.57145899,40.38363926,104.7821735,89.30605046,33.96110307,133.3275139,34.63094248,106.339527,24.36904543,57.9280298,58.9610304,75.16114181,57.58606011,35.36289727,129.459988,92.13432494,64.1052941,91.7047389,,,,
2020-04-11,20.55548989,70.50612771,84.94538648,87.69481327,43.25494096,90.42114868,26.96822008,26.31546812,88.05895415,98.096565,120.5852702,83.14462207,39.77044214,104.7510881,88.48825499,33.75091126,131.5449145,34.28379625,105.9115316,24.24885268,57.90682728,57.90306425,74.94920112,57.10602996,35.17430083,128.627939,90.82792393,63.32357636,90.3775572,,,,
2020-04-12,20.09598604,70.00255778,83.46483908,86.73824892,42.93139995,87.73701905,27.19422205,25.35723717,86.96218879,94.538422,120.3309881,80.64923578,37.79817013,99.23015729,87.2394835,33.50908296,120.2906656,33.99827584,103.5086182,24.03697667,56.7399922,57.62791423,71.02248356,56.76202742,33.48886936,126.830751,79.50364414,61.10466774,89.50692407,,,,
2020-04-13,19.8476075,70.12787858,83.49186284,85.73986676,42.46959833,88.92032549,27.40095959,25.38894336,86.91888015,93.789924,120.8554553,81.13454455,37.97072365,99.27537976,87.55220635,33.16216143,121.5327088,33.86552602,103.0223813,23.83624262,56.66079327,57.55031263,71.85925288,56.79490835,33.71214618,123.618286,80.82606694,61.70420147,89.93103329,,,,
2020-04-14,19.8104096,70.58482904,84.19762488,86.59024418,42.44037783,90.0239053,27.86076308,25.49008715,87.1424217,93.664262,121.6173307,82.21847962,38.38156353,99.73728823,88.05053204,33.21460082,123.5235368,33.92696692,103.4343798,24.06377151,56.96438931,57.70552701,73.17386693,57.19621379,34.06912049,122.615726,82.35866895,62.52856568,90.60861019,,,,
2020-04-15,19.81270166,72.02791404,85.71524794,90.6775468,42.67503226,92.45081727,28.84873764,25.85680929,87.96757943,94.087701,123.5776544,84.55041085,39.44119733,100.5025249,89.0857832,33.35898935,126.6978381,34.10200714,104.5437604,24.12961944,57.6184951,57.74499897,75.51773793,58.24222944,34.49834326,121.779721,84.74956686,63.80867202,91.71768506,,,,
2020-04-16,19.85182752,73.43000053,87.08595879,92.87518301,43.03992787,93.64095358,29.40937429,26.16740107,88.55893184,94.209853,124.7973451,86.15681228,40.20851133,100.4535314,89.93481851,33.63941083,129.6925692,34.47532529,105.2603694,24.43315292,57.83690501,57.8967922,76.61875845,59.00323959,34.85708827,122.882846,86.35865766,64.44471966,92.51131963,,,,
2020-04-17,20.02499523,75.32052233,88.71607466,94.99366733,43.58493247,93.64495186,30.14177993,26.34432253,89.01619623,93.555457,124.6782178,87.89185991,41.02634656,99.54758855,90.87519938,33.9522391,132.3782196,35.01535386,106.444544,24.6455527,58.38425474,59.05009209,77.574413,59.4845342,35.10877473,123.685877,87.4170943,65.22448854,93.90709699,,,,
2020-04-18,19.80723258,75.7970685,88.44290859,93.7472752,43.01614926,91.95623605,30.35818749,25.97254226,87.71564043,89.66691058,120.7261281,87.84231158,41.09039245,95.7419663,90.17715601,33.31954723,133.3936402,34.85987848,104.6584975,24.42313791,57.61364424,58.05490319,77.48161103,58.61264752,34.57514843,120.563567,87.29661386,64.87881704,92.5732833,,,,
2020-04-19,19.95388039,76.85874921,90.68969921,94.72995049,43.72296739,95.84808106,30.74832637,27.08190393,88.92373128,91.96895804,122.1569657,91.7880668,43.34771968,100.4552678,91.94760218,33.66925263,148.2035309,35.37462842,107.7359263,24.75060588,58.72216512,58.336676,82.55022273,59.66464164,36.42364796,124.732961,99.30102028,66.23235058,93.9140289,,,,
2020-04-20,20.14596682,78.67337498,92.24832921,95.9672327,44.48360935,96.18817292,30.95957442,27.50737017,89.49639842,92.69424224,122.9878298,93.06939916,43.99237823,100.4822836,92.60095003,34.21829229,151.4328566,35.7032762,109.243385,25.12343522,59.11373872,58.64151043,83.43018004,60.27894308,36.62059589,128.690971,99.57152864,66.69356031,95.23949434,,,,
2020-04-21,20.1920731,79.987689,93.03080711,95.5889956,44.64477114,96.69640407,30.93947923,27.63607353,89.93206719,93.30120286,122.5124422,93.75552729,44.38103059,100.4696387,93.07003238,34.34279598,153.6782089,35.84878185,109.1002777,25.21435078,59.12144106,58.77221978,83.91737328,60.37166378,36.70807926,128.754981,100.0266556,66.98512579,95.83766471,,,,
2020-04-22,20.34730167,80.4802312,93.1224791,92.07446635,44.88832735,95.69532201,30.43091187,27.49412406,89.7343294,93.0935552,121.4855039,93.34795693,44.29634843,100.0661197,93.00890203,34.41220818,154.299911,35.9947293,108.8452376,25.34282637,58.87018339,59.12683549,83.24730559,60.2223154,36.6930117,129.58583,99.42330781,66.67607625,96.14048272,,,,
2020-04-23,20.36616503,81.25678848,93.2861849,90.35273326,45.05870241,95.20620558,30.12363216,27.48031983,89.71548491,92.7594409,121.353199,93.42367297,44.31226774,100.0274375,92.94240231,34.37027912,154.7801201,36.01944115,108.8702227,25.1830371,58.61110393,59.43631697,83.33996634,60.11635007,36.7001927,130.01669,98.99841186,66.63530178,96.20398457,,,,
2020-04-24,20.67379792,82.23991098,94.05219824,90.06729051,45.58455839,95.4374149,30.08663394,27.6512811,90.3916766,93.10504349,122.05796,94.70175291,44.62903914,100.4024212,93.76116666,34.67813835,156.4030038,36.30366603,109.6032718,25.5787637,59.05407741,59.8314656,83.71781687,60.52737044,36.94210605,131.000812,99.34958852,67.13820266,97.21849576,,,,
2020-04-25,20.33699900,81.57937059,92.9457107,88.29634732,45.37967356,93.88191046,29.41909491,27.52270383,89.60506828,92.222646,119.8774483,93.91776294,44.38733636,98.38392811,93.0540645,34.49808454,155.3212418,36.3430632,108.2241718,25.43137106,58.71863556,59.104461,82.42656276,60.00713286,36.39821356,132.721571,97.17075767,66.60940157,95.98307678,,,,
2020-04-26,20.53724641,81.71670863,93.01634023,88.36606294,45.22187494,94.92678144,29.3083642,27.7351693,90.17979499,93.276909,120.355688,94.88241223,44.88326627,99.13174183,93.74474158,34.41135245,157.0745385,36.4774828,107.8756447,25.4337589,59.08246332,58.9963688,82.7025333,60.28634848,36.58680187,130.149185,98.34619319,67.27004611,95.59934421,,,,
2020-04-27,20.59183483,82.49350371,93.57132894,88.68130744,45.28031985,95.42344542,29.40182887,27.67771185,90.53902087,93.647917,120.2751537,95.59471145,45.23993453,99.56538386,94.12904122,34.52519485,158.2572571,36.6489565,107.9202835,25.48099706,59.96040015,59.2773136,82.67813303,60.61473725,36.73493108,129.47799,99.12516999,67.73267905,95.93608391,,,,
2020-04-28,20.73748955,83.33826686,94.26624745,88.51258096,45.62842204,95.79074365,29.50805748,27.94260448,90.82913459,93.844761,121.0153254,96.56144255,45.54691997,99.84878075,94.44059296,34.7637974,159.5549603,37.11829553,108.6061044,25.62035277,61.37085448,59.6782522,82.80126995,61.15058746,37.00311137,130.72651,99.85157393,67.70195865,96.85769674,,,,
2020-04-29,20.84260622,84.18788861,94.96099888,88.61513526,45.59383619,96.42839492,29.61810433,28.2736913,91.18911208,93.878414,121.8826733,97.40982203,46.09026472,100.201413,94.71938207,34.66198802,160.9754162,37.39957791,108.6537644,25.68681673,62.32958166,59.8723628,83.23981499,61.39525401,37.1980233,130.43227,100.8503704,68.20104648,97.11311971,,,,
2020-04-30,21.31342425,85.85051486,96.20835044,90.58823822,45.96700898,97.84358476,30.17089665,28.71202104,92.30531282,95.171154,122.6947158,99.26987622,46.95538721,100.988263,95.9557919,34.88171291,162.938605,37.97320047,109.3219553,26.00994821,64.15673388,60.5080119,83.79206558,62.33384342,37.5904814,130.480702,102.341898,69.5007035,98.41012485,,,,
2020-05-01,21.90430958,87.91148143,98.71108764,97.07380993,47.38602211,99.94675223,31.12994159,30.0002622,94.78742898,97.825967,125.5868299,102.2150839,48.8048288,102.9317517,98.6038852,35.6327141,167.7559941,39.41225677,112.6765568,26.85033063,66.90544383,61.9573679,86.16061431,64.47664024,38.79407308,134.231834,104.1260798,72.37489792,101.2110524,,,,
2020-05-02,21.85219645,87.05000072,98.4023981,98.71035626,47.78362027,99.07924559,31.0751751,30.24194069,94.64401098,97.900768,123.8624135,101.9598498,49.50958627,101.4305227,98.55134783,35.36662966,167.0734424,40.22517508,111.4933869,27.07525155,67.13384702,61.4340658,85.67865967,64.61729007,38.79956506,134.476339,102.6482443,72.46665952,100.3126827,,,,
